split,model,metric,mean,ci_low,ci_high,n_units
50/50,Classical,rmse_forecast,9.537245158756013,8.853690164615651,10.399801351285674,8
50/50,FOK,rmse_forecast,2.7447617564395665,1.9527033680501427,3.652590245793578,8
50/50,KWW,rmse_forecast,2.808907435891048,1.93718256188451,3.716003577128517,8
60/40,Classical,rmse_forecast,7.7045640280858425,6.422583743377238,9.077367130704586,8
60/40,FOK,rmse_forecast,2.9192039548382325,1.9513713942109945,3.9202516067695394,8
60/40,KWW,rmse_forecast,3.1943350703231284,2.0383498664834354,4.388883136646563,8
70/30,Classical,rmse_forecast,6.211055521760985,4.861680201737498,7.5931532882536645,8
70/30,FOK,rmse_forecast,2.4842715795187775,1.496726910932374,3.58867202829741,8
70/30,KWW,rmse_forecast,2.7679667308604454,1.9040856874887093,3.650213804105701,8
