comparison,split,n_pairs,mean_fok_rmse,mean_comp_rmse,mean_delta_rmse,median_delta_rmse,p_value_exact,rank_biserial,wins,ties,mean_diff,bca_ci_low,bca_ci_high,hodges_lehmann,hl_ci_low,hl_ci_high,cliffs_delta,cliffs_ci_low,cliffs_ci_high,p_superior,p_equivalent,p_inferior
FOK vs Classical,50/50,8,2.7447617564395665,9.537245158756013,6.7924834023164475,6.659721181765675,0.00390625,1.0,8,0,6.7924834023164475,6.1653378063337945,7.582619701126421,6.788169711296591,6.114686046844642,7.645185874992063,1.0,1.0,1.0,1.0,0.0,0.0
FOK vs Classical,60/40,8,2.9192039548382325,7.7045640280858425,4.7853600732476105,5.041726493599553,0.00390625,1.0,8,0,4.7853600732476105,3.6579799800961776,5.511584711346009,4.94545238438679,3.6712566288276403,5.61612859047642,1.0,1.0,1.0,1.0,0.0,0.0
FOK vs Classical,70/30,8,2.4842715795187775,6.211055521760985,3.726783942242207,3.825223656311797,0.00390625,1.0,8,0,3.726783942242207,3.0836163799502185,4.346880877069368,3.7963957027624455,3.031133765528916,4.485005724050291,1.0,1.0,1.0,1.0,0.0,0.0
