split,mean_case_bias,median_case_bias,wilcoxon_p,n_cases,pooled_points,lead_slope,lead_intercept,lead_rvalue,lead_pvalue
50/50,-1.6474740501832477,-2.4774109293369575,0.0546875,8,104,-0.009944216072644691,-0.13442332774546273,-0.4100654728306478,1.5390325517484732e-05
60/40,-1.1294012778280291,-2.0173109032168064,0.25,8,80,-0.01170296570197383,0.2585704544260672,-0.33437998833232413,0.0024335173802277938
70/30,-0.820587933523658,-0.9624069682308738,0.3828125,8,64,-0.015470542174754595,0.6839222929712264,-0.4252232080629298,0.00046080837974040405
