comparison,scope,inferentially_independent,n_pairs,mean_fok_rmse,mean_comp_rmse,mean_delta_rmse,median_delta_rmse,p_value_exact,rank_biserial,note,mean_diff,bca_ci_low,bca_ci_high,hodges_lehmann,hl_ci_low,hl_ci_high,cliffs_delta,cliffs_ci_low,cliffs_ci_high,p_superior,p_equivalent,p_inferior
FOK vs Hybrid,pooled_descriptive_only,False,24,2.716079096932192,8.091416666666667,5.375337569734474,5.344558837146545,5.960464477539063e-08,1.0,Pooled 24-case summaries aggregate nested splits from the same specimens and are descriptive only.,5.375337569734474,4.689116145974589,6.136709983185882,5.314803391807208,4.59524172888975,6.0930197976783305,1.0,1.0,1.0,1.0,0.0,0.0
FOK vs Classical,pooled_descriptive_only,False,24,2.716079096932192,7.817621569534279,5.101542472602088,5.076495023543937,5.960464477539063e-08,1.0,Pooled 24-case summaries aggregate nested splits from the same specimens and are descriptive only.,5.101542472602088,4.438016241396594,5.776714414897828,5.094973293055377,4.36759135578024,5.821766943288511,1.0,1.0,1.0,1.0,0.0,0.0
FOK vs KWW,pooled_descriptive_only,False,24,2.716079096932192,2.9237364123582075,0.20765731542601498,-0.5892549484974625,0.42766785621643066,0.04666666666666667,Pooled 24-case summaries aggregate nested splits from the same specimens and are descriptive only.,0.20765731542601498,-0.2689439068539601,0.8327797808488672,0.02222309255665858,-0.6905682841424351,0.8289344215877308,-0.25,-0.5833333333333334,0.16666666666666666,0.7664,0.0,0.2336
