split,location,mean_ratio,median_ratio,min_ratio,max_ratio
60/40,endpoint,0.9551422636900212,0.966324138840364,0.8984236112246468,0.9892134024580219
60/40,midpoint,0.8878388586592311,0.8991453488609669,0.7649341146114237,0.9524688781245984
