split,fok_rmse_mean,hybrid_rmse_mean,mean_rmse_gain,rmse_gain_ci_low,rmse_gain_ci_high,fok_mae_mean,hybrid_mae_mean,unit_wins_rmse,unit_wins_mae
50/50,2.7447617564395665,8.91855,6.173788243560434,5.108198900440854,7.380834302678929,2.2166768510483745,7.6392500000000005,8,8
60/40,2.9192039548382325,7.9770625,5.057858545161768,3.757224912297127,6.373736617477759,2.436952075607459,6.7612375,8,8
70/30,2.4842715795187775,7.3786375,4.894365920481222,3.8571560382556744,6.06237896908016,2.0030481786652485,6.2635000000000005,8,8
