Model,50/50_RMSE,50/50_MAE,60/40_RMSE,60/40_MAE,70/30_RMSE,70/30_MAE
ARIMA,13.3764125,12.8806125,12.9803375,12.6104625,14.04125,13.7954375
SES,12.3527375,10.916325,11.30485,10.1766125,10.426575,9.683975
Bi-LSTM,15.16795,14.6386625,11.1732375,10.6193375,10.1857375,9.7596625
CTB,13.132925,12.2956375,12.5725125,12.1007625,11.873,11.5302625
Hybrid,8.91855,7.63925,7.977062500000001,6.7612375,7.3786375,6.2635000000000005
KWW,2.8089074358910486,2.260221130697324,3.1943350703231284,2.7131580996931985,2.767966730860445,2.34000042058977
Classical,9.537245158756013,8.484701088571654,7.7045640280858425,6.8061476675311035,6.211055521760985,5.305131031640922
FOK,2.7447617564395665,2.216676851048375,2.9192039548382325,2.436952075607459,2.4842715795187775,2.0030481786652485
