split,scheme,mean_coverage,mean_width,mean_wis
50/50,per-specimen,0.6346153846153846,6.817251571709313,17.306105578017473
50/50,hierarchical-pooled,0.6346153846153846,6.817251571709313,17.306105578017473
60/40,per-specimen,0.6375,5.649319200193808,18.532854848352372
60/40,hierarchical-pooled,0.7375,6.55425727293774,17.47744457673135
70/30,per-specimen,0.609375,4.138957255778698,17.03773697071953
70/30,hierarchical-pooled,0.6875,5.040356406959559,16.17206003192045
