Model,50/50_RMSE,50/50_MAE,60/40_RMSE,60/40_MAE,70/30_RMSE,70/30_MAE
ARIMA,13.3764125,12.8806125,12.9803375,12.6104625,14.04125,13.7954375
SES,12.3527375,10.916325,11.30485,10.1766125,10.426575,9.683975
Bi-LSTM,15.16795,14.6386625,11.1732375,10.6193375,10.1857375,9.7596625
CTB,13.132925,12.2956375,12.5725125,12.1007625,11.873,11.530262500000001
Hybrid,8.91855,7.63925,7.977062500000001,6.7612375,7.3786375,6.2635000000000005
